symbol,decision_week,decision_session,decision_close_utc,decision_close_ny,execution_session,news_latest_safe_date,news_latest_safe_age_calendar_days,news_same_day_ambiguous_count,news_missing_date_count,news_records_1d,news_records_3d,news_records_7d,news_records_14d,news_records_30d,table_latest_safe_filed_date,table_latest_safe_age_calendar_days,table_observations_with_filed_before_decision,table_same_day_filed_ambiguous_count,ts_sessions_strictly_before_decision,ts_sessions_through_decision,ts_latest_session_through_decision,ts_formal_period_missing_session_count,image_candidate_count_nominal_end_le_decision,image_latest_safe_nominal_end,image_latest_safe_filename,image_latest_safe_age_calendar_days,modality_unavailable_or_ambiguous_flags,pit_risk_flags,warmup_reference_start,final_valuation_session
AAPL,2024-01-01,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-08,2023-12-16,20,0,0,0,0,0,0,11,2023-11-03,63,97566,0,6040,6041,2024-01-05,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-01-01,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-08,2023-12-16,20,0,0,0,0,0,0,11,2023-10-27,70,66118,0,6040,6041,2024-01-05,0,48,2023-12-31,amzn_2023_H2_candlestick.png,5,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-01-01,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-08,,,0,,0,0,0,0,0,2023-11-01,65,6476,0,6040,6041,2024-01-05,0,48,2023-12-31,jpm_2023_H2_candlestick.png,5,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-01-08,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-12T16:00:00-05:00,2024-01-16,2023-12-16,27,0,0,0,0,0,0,4,2023-11-03,70,97566,0,6045,6046,2024-01-12,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-01-08,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-12T16:00:00-05:00,2024-01-16,2023-12-16,27,0,0,0,0,0,0,4,2023-10-27,77,66118,0,6045,6046,2024-01-12,0,48,2023-12-31,amzn_2023_H2_candlestick.png,12,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-01-08,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-12T16:00:00-05:00,2024-01-16,,,0,,0,0,0,0,0,2023-11-01,72,6476,0,6045,6046,2024-01-12,0,48,2023-12-31,jpm_2023_H2_candlestick.png,12,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-01-15,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-19T16:00:00-05:00,2024-01-22,2023-12-16,34,0,0,0,0,0,0,0,2023-11-03,77,97566,0,6049,6050,2024-01-19,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-01-15,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-19T16:00:00-05:00,2024-01-22,2023-12-16,34,0,0,0,0,0,0,0,2023-10-27,84,66118,0,6049,6050,2024-01-19,0,48,2023-12-31,amzn_2023_H2_candlestick.png,19,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-01-15,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-19T16:00:00-05:00,2024-01-22,,,0,,0,0,0,0,0,2023-11-01,79,6476,0,6049,6050,2024-01-19,0,48,2023-12-31,jpm_2023_H2_candlestick.png,19,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-01-22,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-26T16:00:00-05:00,2024-01-29,2023-12-16,41,0,0,0,0,0,0,0,2023-11-03,84,97566,0,6054,6055,2024-01-26,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-01-22,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-26T16:00:00-05:00,2024-01-29,2023-12-16,41,0,0,0,0,0,0,0,2023-10-27,91,66118,0,6054,6055,2024-01-26,0,48,2023-12-31,amzn_2023_H2_candlestick.png,26,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-01-22,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-26T16:00:00-05:00,2024-01-29,,,0,,0,0,0,0,0,2023-11-01,86,6476,0,6054,6055,2024-01-26,0,48,2023-12-31,jpm_2023_H2_candlestick.png,26,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-01-29,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-02T16:00:00-05:00,2024-02-05,2023-12-16,48,0,0,0,0,0,0,0,2023-11-03,91,97566,1596,6059,6060,2024-02-02,0,0,,,,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_UNAVAILABLE,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-01-29,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-02T16:00:00-05:00,2024-02-05,2023-12-16,48,0,0,0,0,0,0,0,2023-10-27,98,66118,858,6059,6060,2024-02-02,0,48,2023-12-31,amzn_2023_H2_candlestick.png,33,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-01-29,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-02T16:00:00-05:00,2024-02-05,,,0,,0,0,0,0,0,2023-11-01,93,6476,0,6059,6060,2024-02-02,0,48,2023-12-31,jpm_2023_H2_candlestick.png,33,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-02-05,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-09T16:00:00-05:00,2024-02-12,2023-12-16,55,0,0,0,0,0,0,0,2024-02-02,7,99162,0,6064,6065,2024-02-09,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
