taxonomy,concept,unit,symbol_coverage,symbol_coverage_count,units_by_symbol,filing_frequency_by_symbol,latest_safe_availability_by_symbol,duplicate_or_restatement_by_symbol,formal_case_safe_coverage_by_symbol,recommended_fixed_schema,selection_reason
srt,StockRepurchaseProgramAuthorizedAmount1,USD,JPM,1,JPM:USD,JPM:unique_filed_dates=1,,JPM:groups=2;max_versions=4,AAPL:0/26; AMZN:0/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,AccountsPayableCurrent,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=62; AMZN:unique_filed_dates=62,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01,AAPL:groups=63;max_versions=252; AMZN:groups=63;max_versions=130,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,AccountsReceivableNetCurrent,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=63; AMZN:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01,AAPL:groups=64;max_versions=252; AMZN:groups=64;max_versions=130,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,Assets,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=63; AMZN:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01; JPM:2023-11-01..2024-05-01,AAPL:groups=64;max_versions=294; AMZN:groups=64;max_versions=156; JPM:groups=64;max_versions=36,AAPL:26/26; AMZN:26/26; JPM:26/26,true,balance-sheet total assets
us-gaap,AssetsCurrent,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=63; AMZN:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01,AAPL:groups=64;max_versions=252; AMZN:groups=64;max_versions=130,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,AssetsNoncurrent,USD,AAPL,1,AAPL:USD,AAPL:unique_filed_dates=26,AAPL:2023-11-03..2024-05-03,AAPL:groups=27;max_versions=210,AAPL:26/26; AMZN:0/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=39; AMZN:unique_filed_dates=35; JPM:unique_filed_dates=39,AAPL:2019-01-30..2019-01-30; AMZN:2018-02-02..2018-02-02; JPM:2019-02-26..2019-02-26,AAPL:groups=44;max_versions=210; AMZN:groups=89;max_versions=78; JPM:groups=44;max_versions=16,AAPL:26/26; AMZN:26/26; JPM:26/26,false,not selected: no compact cross-asset contract role
us-gaap,CommonStockValue,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=19; AMZN:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2014-01-28..2014-01-28; AMZN:2023-10-27..2024-05-01; JPM:2023-11-01..2024-05-01,AAPL:groups=20;max_versions=504; AMZN:groups=64;max_versions=260; JPM:groups=64;max_versions=64,AAPL:26/26; AMZN:26/26; JPM:26/26,false,not selected: no compact cross-asset contract role
us-gaap,InventoryNet,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=63; AMZN:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01,AAPL:groups=64;max_versions=252; AMZN:groups=64;max_versions=130,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,Liabilities,USD,AAPL/JPM,2,AAPL:USD; JPM:USD,AAPL:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; JPM:2023-11-01..2024-05-01,AAPL:groups=64;max_versions=252; JPM:groups=64;max_versions=32,AAPL:26/26; AMZN:0/26; JPM:26/26,true,balance-sheet total liabilities
