symbol,date_role,session_date,m0_reference_status,finmultitime_source,m0_source,finmultitime_open,m0_open,relative_difference_open,finmultitime_high,m0_high,relative_difference_high,finmultitime_low,m0_low,relative_difference_low,finmultitime_close,m0_close,relative_difference_close,finmultitime_volume,m0_volume,relative_difference_volume,finmultitime_dividends,m0_dividends,relative_difference_dividends,finmultitime_stock_splits,m0_stock_splits,relative_difference_stock_splits,interpretation
AAPL,split_adjacent,2000-06-20,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,0.7410547143,,,0.7819631631,,,0.7401143681,,,0.7617444396,,,5013904,,,0,,,0,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_event,2000-06-21,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,0.7598637116,,,0.8567271983,,,0.7570425728,,,0.8369786739,,,49,,,0,,,2,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_adjacent,2000-06-22,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,0.8388593514,,,0.8670719933,,,0.8059440249,,,0.8087651134,,,467712,,,0,,,0,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_adjacent,2005-02-25,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,1.3484939094,,,1.3528577814,,,1.3269766975,,,1.339014411,,,9155104,,,0,,,0,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_event,2005-02-28,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,1.344582153,,,1.3584256301,,,1.3229150627,,,1.3499994278,,,6516104,,,0,,,2,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_adjacent,2005-03-01,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,1.3539114702,,,1.3575220821,,,1.3289336094,,,1.3391655684,,,468188,,,0,,,0,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_adjacent,2014-06-06,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,20.4619295932,,,20.5047498135,,,20.290968191,,,20.3255996704,,,3499384,,,0,,,0,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_event,2014-06-09,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,20.4304381393,,,20.6905020448,,,20.2210653829,,,20.6508312225,,,30166,,,0,,,7,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_adjacent,2014-06-10,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,20.8778326232,,,20.948358326,,,20.6221758994,,,20.7720432281,,,251108,,,0,,,0,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
AAPL,split_adjacent,2020-08-28,NOT_AVAILABLE_OUTSIDE_FROZEN_SNAPSHOT,S&P500_time_series/aapl.csv,inputs/market_data/AAPL.csv,122.8746266915,,,123.2939194462,,,121.4753623837,,,121.6996383667,,,18763,,,0,,,0,,,FinMultiTime event retained; frozen M0 snapshot has no overlapping date.
