symbol,decision_session,decision_time_utc,decision_close_ny,execution_session,packet_version,TEXT_status,selected_news_count,selected_news_latest_date,selected_news_oldest_date,text_latest_safe_age_calendar_days,text_dedup_removed_count,text_same_day_ambiguous_rejected_count,TABLE_status,selected_filing_date,selected_table_concept_count,table_latest_safe_filed_date,table_latest_safe_age_calendar_days,table_same_day_ambiguous_rejected_count,table_selected_restatement_rule,TIME_SERIES_status,latest_included_session,time_series_selected_session_count,time_series_evidence_age_calendar_days,time_series_summary_fields,IMAGE_status,selected_image,selected_image_window_end,image_evidence_age_calendar_days,image_staleness_threshold_rule,PIT_rejection_flags,PIT_violation_count,ambiguous_rejected_count,source_hash_reference,estimated_text_chars,estimated_table_chars,estimated_time_series_chars,estimated_image_chars,estimated_packet_chars,estimated_packet_bytes_utf8
AAPL,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-08,M1-FINMULTITIME-DRAFT-0.1,AVAILABLE,8,2023-12-16,2023-12-16,20,0,0,AVAILABLE,Assets=2023-11-03;Liabilities=2023-11-03;NetCashProvidedByUsedInFinancingActivities=2023-11-03;NetCashProvidedByUsedInInvestingActivities=2023-11-03;NetCashProvidedByUsedInOperatingActivities=2023-11-03;StockholdersEquity=2023-11-03,6,2023-11-03,63,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-05,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,9b2ba553019dc7a8cc2b7364332ccf57197f73788262f915f6170713f882b839,8745,801,487,61,10694,10694
AMZN,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-08,M1-FINMULTITIME-DRAFT-0.1,AVAILABLE,8,2023-12-16,2023-12-16,20,307,0,AVAILABLE,Assets=2023-10-27;NetCashProvidedByUsedInFinancingActivities=2023-10-27;NetCashProvidedByUsedInInvestingActivities=2023-10-27;NetCashProvidedByUsedInOperatingActivities=2023-10-27;StockholdersEquity=2023-10-27,5,2023-10-27,70,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-05,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,5,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,29fc6d2edf2abfa51a8a5026bb834e00264ab6bed78bd4d7da3bcb7725df4170,8841,686,488,97,10712,10712
JPM,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-08,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2023-11-01;Liabilities=2023-11-01;NetCashProvidedByUsedInFinancingActivities=2023-11-01;NetCashProvidedByUsedInInvestingActivities=2023-11-01;NetCashProvidedByUsedInOperatingActivities=2023-11-01;StockholdersEquity=2023-11-01,6,2023-11-01,65,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-05,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,5,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,959ea2c5efdb0ed7c9780327ad21973f312c99f757001bb023bf08c1c2e3e457,19,804,469,96,1988,1988
AAPL,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-12T16:00:00-05:00,2024-01-16,M1-FINMULTITIME-DRAFT-0.1,AVAILABLE,8,2023-12-16,2023-12-16,27,0,0,AVAILABLE,Assets=2023-11-03;Liabilities=2023-11-03;NetCashProvidedByUsedInFinancingActivities=2023-11-03;NetCashProvidedByUsedInInvestingActivities=2023-11-03;NetCashProvidedByUsedInOperatingActivities=2023-11-03;StockholdersEquity=2023-11-03,6,2023-11-03,70,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-12,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,20a890c57f85c6693d63719e0a72180d663f0efe5204d309129798d4dbff82be,8745,801,488,61,10695,10695
AMZN,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-12T16:00:00-05:00,2024-01-16,M1-FINMULTITIME-DRAFT-0.1,AVAILABLE,8,2023-12-16,2023-12-16,27,307,0,AVAILABLE,Assets=2023-10-27;NetCashProvidedByUsedInFinancingActivities=2023-10-27;NetCashProvidedByUsedInInvestingActivities=2023-10-27;NetCashProvidedByUsedInOperatingActivities=2023-10-27;StockholdersEquity=2023-10-27,5,2023-10-27,77,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-12,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,12,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,7c107c8d89c45f23fcf6a1071d5f1bc6cfb4ec52301bb52efa63279792d4b0dd,8841,686,488,97,10712,10712
JPM,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-12T16:00:00-05:00,2024-01-16,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2023-11-01;Liabilities=2023-11-01;NetCashProvidedByUsedInFinancingActivities=2023-11-01;NetCashProvidedByUsedInInvestingActivities=2023-11-01;NetCashProvidedByUsedInOperatingActivities=2023-11-01;StockholdersEquity=2023-11-01,6,2023-11-01,72,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-12,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,12,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,a3831ed17a4b3def7f7f586e80eb14a9218f434ba88ce2ab590c32e39fc63807,19,804,486,96,2005,2005
AAPL,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-19T16:00:00-05:00,2024-01-22,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,34,0,0,AVAILABLE,Assets=2023-11-03;Liabilities=2023-11-03;NetCashProvidedByUsedInFinancingActivities=2023-11-03;NetCashProvidedByUsedInInvestingActivities=2023-11-03;NetCashProvidedByUsedInOperatingActivities=2023-11-03;StockholdersEquity=2023-11-03,6,2023-11-03,77,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-19,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,1516df3d5c6f067e958aff56a5c1d3d88c48f10a8cecfbc5ff94eb64e8964bf4,19,801,487,61,1968,1968
AMZN,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-19T16:00:00-05:00,2024-01-22,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,34,307,0,AVAILABLE,Assets=2023-10-27;NetCashProvidedByUsedInFinancingActivities=2023-10-27;NetCashProvidedByUsedInInvestingActivities=2023-10-27;NetCashProvidedByUsedInOperatingActivities=2023-10-27;StockholdersEquity=2023-10-27,5,2023-10-27,84,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-19,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,19,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,2a6ccb2f2af60344cd7856cdc1da260cd4eddba900e5dd2e1502f0ed8003cd80,19,686,468,97,1870,1870
JPM,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-19T16:00:00-05:00,2024-01-22,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2023-11-01;Liabilities=2023-11-01;NetCashProvidedByUsedInFinancingActivities=2023-11-01;NetCashProvidedByUsedInInvestingActivities=2023-11-01;NetCashProvidedByUsedInOperatingActivities=2023-11-01;StockholdersEquity=2023-11-01,6,2023-11-01,79,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-19,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,19,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,4d4e5bba3fc805bb23d587bc5b09d835ecda8e4d1a58fb0a5d397d61bbef6bc5,19,804,488,96,2007,2007
AAPL,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-26T16:00:00-05:00,2024-01-29,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,41,0,0,AVAILABLE,Assets=2023-11-03;Liabilities=2023-11-03;NetCashProvidedByUsedInFinancingActivities=2023-11-03;NetCashProvidedByUsedInInvestingActivities=2023-11-03;NetCashProvidedByUsedInOperatingActivities=2023-11-03;StockholdersEquity=2023-11-03,6,2023-11-03,84,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-26,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,230e4852c1f64b3db2e5aee78854c80d1d7016ab6effd261bff14183fab5dd18,19,801,488,61,1969,1969
