symbol,concept,decision_session,candidate_count,eligible_count,economic_period_group_count,same_day_rejected_count,duration_candidates_at_latest_end,selection_status,selection_reason,selected_fact
AAPL,Assets,2024-01-05,5628,5208,59,0,"[{""accession_number"": ""0000320193-23-000106"", ""filed_date"": ""2023-11-03"", ""filing_period_match_score"": 0, ""form"": ""10-K"", ""fp"": ""FY"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-23-000106"", ""concept"": ""Assets"", ""filed_date"": ""2023-11-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""fy"": 2023, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """", ""source_member"": ""financial_reports/aapl/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""703fb92c5726d6d5d83c0f1702b721fd31175346fcdcb5883f38dc4f20350cf2"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 352583000000}"
AAPL,Liabilities,2024-01-05,5544,5124,59,0,"[{""accession_number"": ""0000320193-23-000106"", ""filed_date"": ""2023-11-03"", ""filing_period_match_score"": 0, ""form"": ""10-K"", ""fp"": ""FY"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-23-000106"", ""concept"": ""Liabilities"", ""filed_date"": ""2023-11-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""fy"": 2023, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """", ""source_member"": ""financial_reports/aapl/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""11c3925b16479d166cfbeed425adeb93a99381bc4204461a1ee88553c1cd04fb"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 290437000000}"
AAPL,StockholdersEquity,2024-01-05,9744,8736,61,0,"[{""accession_number"": ""0000320193-23-000106"", ""filed_date"": ""2023-11-03"", ""filing_period_match_score"": 0, ""form"": ""10-K"", ""fp"": ""FY"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-23-000106"", ""concept"": ""StockholdersEquity"", ""filed_date"": ""2023-11-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""fy"": 2023, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """", ""source_member"": ""financial_reports/aapl/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""36aa0dd70cff59ad31b079a9af735c922856d339169c43e2a8fd90224a79edaa"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 62146000000}"
AAPL,NetCashProvidedByUsedInOperatingActivities,2024-01-05,5082,4620,56,0,"[{""accession_number"": ""0000320193-23-000106"", ""filed_date"": ""2023-11-03"", ""filing_period_match_score"": 1, ""form"": ""10-K"", ""fp"": ""FY"", ""period_duration_days"": 371, ""period_end"": ""2023-09-30"", ""period_start"": ""2022-09-25""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-23-000106"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""filed_date"": ""2023-11-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""fy"": 2023, ""period_duration_class"": ""annual"", ""period_duration_days"": 371, ""period_end"": ""2023-09-30"", ""period_start"": ""2022-09-25"", ""source_member"": ""financial_reports/aapl/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""0606ff8c17f3a219496eee917fc96ec9bdb42bb1f445a5688099b5dd77217c9a"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 110543000000}"
AAPL,NetCashProvidedByUsedInInvestingActivities,2024-01-05,5082,4620,56,0,"[{""accession_number"": ""0000320193-23-000106"", ""filed_date"": ""2023-11-03"", ""filing_period_match_score"": 1, ""form"": ""10-K"", ""fp"": ""FY"", ""period_duration_days"": 371, ""period_end"": ""2023-09-30"", ""period_start"": ""2022-09-25""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-23-000106"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""filed_date"": ""2023-11-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""fy"": 2023, ""period_duration_class"": ""annual"", ""period_duration_days"": 371, ""period_end"": ""2023-09-30"", ""period_start"": ""2022-09-25"", ""source_member"": ""financial_reports/aapl/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""c2fef5adef053426776e0d3f8ef3ce70c662b2fcef27aca18af4dd9b591e209b"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 3705000000}"
AAPL,NetCashProvidedByUsedInFinancingActivities,2024-01-05,5082,4620,56,0,"[{""accession_number"": ""0000320193-23-000106"", ""filed_date"": ""2023-11-03"", ""filing_period_match_score"": 1, ""form"": ""10-K"", ""fp"": ""FY"", ""period_duration_days"": 371, ""period_end"": ""2023-09-30"", ""period_start"": ""2022-09-25""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-23-000106"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""filed_date"": ""2023-11-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""fy"": 2023, ""period_duration_class"": ""annual"", ""period_duration_days"": 371, ""period_end"": ""2023-09-30"", ""period_start"": ""2022-09-25"", ""source_member"": ""financial_reports/aapl/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""bcc21cfc9440de6339623ee347518628d1be3a29583d6837f82ae8287080f8f8"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": -108488000000}"
AMZN,Assets,2024-01-05,3536,3224,59,0,"[{""accession_number"": ""0001018724-23-000018"", ""filed_date"": ""2023-10-27"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q3"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0001018724-23-000018"", ""concept"": ""Assets"", ""filed_date"": ""2023-10-27"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2023, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """", ""source_member"": ""financial_reports/amzn/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""a0deb876c8e8bba35883431aada419192e68d13fc92b6abf8dbd8ecbb3e75adb"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 486883000000}"
AMZN,Liabilities,2024-01-05,0,0,0,0,[],UNAVAILABLE,no PIT-safe fact with period end,
AMZN,StockholdersEquity,2024-01-05,5668,5044,61,0,"[{""accession_number"": ""0001018724-23-000018"", ""filed_date"": ""2023-10-27"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q3"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0001018724-23-000018"", ""concept"": ""StockholdersEquity"", ""filed_date"": ""2023-10-27"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2023, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2023-09-30"", ""period_start"": """", ""source_member"": ""financial_reports/amzn/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""3635fb5dfd67d3abb8fc317fd19904d26fefa67285fce1bcdae95a689d9abdef"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 182973000000}"
AMZN,NetCashProvidedByUsedInOperatingActivities,2024-01-05,7800,7228,142,0,"[{""accession_number"": ""0001018724-23-000018"", ""filed_date"": ""2023-10-27"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q3"", ""period_duration_days"": 365, ""period_end"": ""2023-09-30"", ""period_start"": ""2022-10-01""}, {""accession_number"": ""0001018724-23-000018"", ""filed_date"": ""2023-10-27"", ""filing_period_match_score"": 1, ""form"": ""10-Q"", ""fp"": ""Q3"", ""period_duration_days"": 273, ""period_end"": ""2023-09-30"", ""period_start"": ""2023-01-01""}, {""accession_number"": ""0001018724-23-000018"", ""filed_date"": ""2023-10-27"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q3"", ""period_duration_days"": 92, ""period_end"": ""2023-09-30"", ""period_start"": ""2023-07-01""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0001018724-23-000018"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""filed_date"": ""2023-10-27"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2023, ""period_duration_class"": ""year_to_date_h2"", ""period_duration_days"": 273, ""period_end"": ""2023-09-30"", ""period_start"": ""2023-01-01"", ""source_member"": ""financial_reports/amzn/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""dd23db98ce723c665793b5ad78765fda07b02f6e1241e9c3b6f1a54e9c5f0985"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 42481000000}"
