case_id,symbol,decision_session,decision_time,maturity_session,split_role,compact_included,standard_included,maximum_included,formal_symbol,modality_profile,text_status,table_status,timeseries_status,image_status,eligibility_status,source_identity,inclusion_rationale
AAPL:2023-05-05,AAPL,2023-05-05,2023-05-05T20:00:00+00:00,2023-05-12,TRAIN,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_TRAIN_BLOCK;PERFORMANCE_BLIND
AAPL:2023-05-12,AAPL,2023-05-12,2023-05-12T20:00:00+00:00,2023-05-19,TRAIN,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_TRAIN_BLOCK;PERFORMANCE_BLIND
AAPL:2023-05-19,AAPL,2023-05-19,2023-05-19T20:00:00+00:00,2023-05-26,TRAIN,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_TRAIN_BLOCK;PERFORMANCE_BLIND
AAPL:2023-05-26,AAPL,2023-05-26,2023-05-26T20:00:00+00:00,2023-06-05,TRAIN,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_TRAIN_BLOCK;PERFORMANCE_BLIND
AAPL:2023-06-02,AAPL,2023-06-02,2023-06-02T20:00:00+00:00,2023-06-09,TRAIN,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_TRAIN_BLOCK;PERFORMANCE_BLIND
AAPL:2023-06-09,AAPL,2023-06-09,2023-06-09T20:00:00+00:00,2023-06-16,TRAIN,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_TRAIN_BLOCK;PERFORMANCE_BLIND
AAPL:2023-06-16,AAPL,2023-06-16,2023-06-16T20:00:00+00:00,2023-06-26,TRAIN,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_TRAIN_BLOCK;PERFORMANCE_BLIND
AAPL:2023-06-30,AAPL,2023-06-30,2023-06-30T20:00:00+00:00,2023-07-10,VALIDATION,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_VALIDATION_BLOCK;PERFORMANCE_BLIND
AAPL:2023-07-07,AAPL,2023-07-07,2023-07-07T20:00:00+00:00,2023-07-14,VALIDATION,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_VALIDATION_BLOCK;PERFORMANCE_BLIND
AAPL:2023-07-21,AAPL,2023-07-21,2023-07-21T20:00:00+00:00,2023-07-28,FINAL_HOLDOUT,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_FINAL_HOLDOUT_BLOCK;PERFORMANCE_BLIND
AAPL:2023-07-28,AAPL,2023-07-28,2023-07-28T20:00:00+00:00,2023-08-04,FINAL_HOLDOUT,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_FINAL_HOLDOUT_BLOCK;PERFORMANCE_BLIND
AAPL:2023-10-06,AAPL,2023-10-06,2023-10-06T20:00:00+00:00,2023-10-13,E2E_PILOT,true,true,true,true,T0-B1-S1-I0,UNAVAILABLE_SOURCE_INTEGRITY,AVAILABLE_BY_FILED_DATE,AVAILABLE,UNAVAILABLE_M1_FROZEN_POLICY,ELIGIBLE,FinMultiTime:S&P500:AAPL,M2-PREFORMAL-UNIVERSE-v1;CONTIGUOUS_E2E_PILOT_BLOCK;PERFORMANCE_BLIND
